63752	451
79924	736
91077	66924
104000	2977
110995	16237
112061	6965
6864	26
120663	263
131256	8627
142501	400660
104216	403
131491	1170
148876	273
150475	394430
154449	6797
161732	4709
104231	8873
131012	4218
82767	7128
104217	9009
124313	4380
198047	5534
227344	39891
94259	9928
233694	97463
3129	938
113052	1079
96637	176026
89835	401235
144158	376305
133779	41
7526	214751
117302	1114
116395	242
174447	13458
134005	2669
168419	165
3209	435
347196	51445
88854	81
133876	217
131256	8627
124697	1156
121829	784
132867	4130
72317	109583
203935	2496
112880	997
280918	441544
566978	678042
37304	55
98351	101
133669	12
111342	17096
132018	89
218935	521
262604	547
2457	519
126614	1280
168419	165
233841	340
132553	112
546838	34990
127139	514
251748	148
289385	-1
159507	80
4130	1509
100668	-1
259823	16843
95914	-1
133669	12
131012	4218
91921	384
128983	315
171905	194
282713	4794
277789	1932
6864	26
90036	169
88107	536
96182	-1
119591	22
116107	-1
183489	70
36017	16551
6864	26
124345	264428
112061	6965
94478	41
133779	41
128983	315
121829	18
159021	595259
24958	1094
132553	112
207911	1162
82245	92471
3129	938
168419	165
133790	7092
116395	242
134363	90
183943	7916
197776	-1
111342	17096
107313	-1
32335	-1
140713	1109
169128	-1
120663	-1
9167	-1
112880	997
98694	-1
123248	507
130075	-1
268130	125
109820	-1
5985	130910
142501	-1
37304	55
132553	112
133876	217
79822	-1
88346	-1
265243	331
128213	724
92045	1248
159021	-1
127139	514
105515	978
132931	160
131643	419
3209	435
132018	89
131233	574553
113052	574
228797	826
297676	154341
105552	4914
249735	360
91343	53
94478	41
117472	17929
137530	4167
113052	1079
164942	22709
129166	22051
86623	-1
289704	-1
