ecc_id,bc_name,Has Adobe SDK
1435235,"AUDIBLE, INC.",Y
1435239,AVON PRODUCTS INC,Y
1435240,"BABYCENTER, L.L.C.",Y
1435242,"BANKRATE, LLC.",Y
1435256,BUY.COM,Y
1435265,CASA EDITORIAL EL TIEMPO S.A.,Y
1435268,COUNCIL ON FOREIGN RELATIONS,Y
1435283,"CMG CORPORATE SERVICES, INC.",Y
1435284,"EUROMARKET DESIGNS, INC.",Y
1435287,"ALTICE USA, INC.",Y
1435310,"EDMUNDS.COM, INC",Y
1435320,THE E.W. SCRIPPS COMPANY,Y
1435321,"EXPEDIA, INC",Y
1435323,THE FINISH LINE USA INC.,Y
1435326,"FANATICS, INC.",Y
1435332,"FORBES MEDIA, LLC",Y
1435341,"GANNETT CO., INC.",Y
1435342,"THE GAP, INC.",Y
1435345,GENENTECH INC.,Y
1435347,"GETTY IMAGES (US), INC.",Y
1435350,MANSUETO VENTURES LLC.,Y
1435352,"HALLMARK CARDS, INC.",Y
1435355,CAESARS ENTERPRISE SERVICES LLC,Y
1435359,THE HUNTINGTON NATIONAL BANK,Y
1435360,HYATT CORPORATION,Y
1435367,INFORMATICA LLC,Y
1435375,"INTUIT, INC.",Y
1435383,JETBLUE AIRWAYS CORPORATION,Y
1435386,JOHN LEWIS PLC,Y
1435387,JOHN WILEY & SONS PUBLISHING,Y
1435392,"KELLEY BLUE BOOK CO., INC.",Y
1435395,CORPORATION OF THE PRESIDING BISHOP,Y
1435420,ANCESTRY.COM OPERATIONS INC.,Y
1435430,SPRINT UNITED MANAGEMENT COMPANY,Y
1435434,"NU SKIN INTERNATIONAL, INC.",Y
1435457,"RACKSPACE US, INC.",Y
1435470,SENSIS PTY LTD,Y
1435475,GLAXO SMITHKLINE LLC,Y
1435476,"SNAGAJOB.COM, INC.",Y
1435483,SONY CORPORATION OF AMERICA,Y
1435484,"PROGREXION ASG, INC.",Y
1435487,STARWOOD HOTELS & RESORTS,Y
1435491,"SUBARU OF AMERICA, INC.",Y
1435498,TEVA NEUROSCIENCE INC,Y
1435507,TIMES PUBLISHING COMPANY,Y
1435511,TOYOTA MOTOR SALES U.S.A. INC.,Y
1435512,FIND N SAVE INC,Y
1435525,WEBMD LLC.,Y
1435526,"WESTJET, AN ALBERTA PARTNERSHIP",Y
1435527,"WESTERN UNION FINANCIAL SERVICES,",Y
1435538,"LL BEAN, INC.",Y
1435558,TELSTRA CORPORATION LTD,Y
1435559,"US AUTO PARTS NETWORK, INC.",Y
1435565,QUEENS PUBLIC LIBRARY,Y
1435566,RED HAT INC.,Y
1435568,BRITISH TELECOMMUNICATIONS PLC,Y
1435576,ADMINISTRADORA DE SERVICIOS Y SISTE,Y
1435588,TORONTO STAR NEWSPAPERS LIMITED,Y
1435590,AMERICAN EXPRESS TRAVEL,Y
1435591,MARY KAY INC.,Y
1435599,UNITED STATES LIBRARY,Y
1435601,DEX MEDIA INC.,Y
1435606,"HOME BOX OFFICE, INC.",Y
1435616,PELMOREX CORP,Y
1435617,PATAGONIA,Y
1435624,"MAZDA MOTOR OF AMERICA, INC",Y
1435625,THE GOODYEAR TIRE & RUBBER COMPANY,Y
1435632,USEN CORPORATION,Y
1435645,OMNITURE-TRIAL USAGE,Y
1435647,OMNITURE-EMPLOYEE USAGE,Y
1435648,ALLY BANK,Y
1435652,MEIJER GREAT LAKES LIMITED,Y
1435656,MARKS & SPENCER PLC,Y
1435664,CBS INTERACTIVE INC.,Y
1435672,"PENTON MEDIA, INC.",Y
1435673,"THE READER'S DIGEST ASSOCIATION,",Y
1435679,RETAIL FINANCE INTERNATIONAL,Y
1435682,DAIMLER AG,Y
1435696,YEMEK SEPETI ELEKTRONIK ILETISIM TA,Y
1435697,EMBARQ MANAGEMENT COMPANY,Y
1435722,OWN DIGITAL LLC,Y
1435742,ABN AMRO BANK NV,Y
1435744,BRIGHAM YOUNG UNIVERSITY,Y
1435747,VERIZON SOURCING LLC,Y
1435749,MONTBLANC INT. GMBH,Y
1435756,PERFORM MEDIA SERVICES LTD,Y
1435759,QANTAS AIRWAYS LIMITED,Y
1435767,"CANADIAN TIRE CORPORATION, LIMITED",Y
1435771,ULTA INC.,Y
1435772,VIRGIN MOBILE (AUSTRALIA) PTY LTD,Y
1435779,YELL LIMITED,Y
1435793,"HOME DEPOT OF CANADA, INC.",Y
1435815,"VIATOR, INC.",Y
1435822,SOCIETE FRANCAISE DU RADIOTELEPHONE,Y
1435843,"TRULIA, LLC",Y
1435854,"AMERIPRISE FINANCIAL, INC.",Y
1435862,"SALESFORCE.COM, INC.",Y
1435867,"FULLBEAUTY BRANDS, INC.",Y
1435884,FAIRFAX NEW ZEALAND LIMITED,Y
1435902,CANADIAN BROADCASTING,Y
1435919,STUBHUB INC.,Y
1435933,ITMEDIA INC.,Y
1435935,"HOME DEPOT USA, INC.",Y
1435959,"THE NEIMAN MARCUS GROUP, LLC",Y
1435969,THE ASAHI SHIMBUN COMPANY,Y
1435971,"RAKUTEN, INC.",Y
1435991,GE HEALTHCARE,Y
1436002,KAO CORPORATION,Y
1436009,"SCOTTRADE, INC.",Y
1436010,TUI UK LIMITED,Y
1436013,SAFARI BOOKS ONLINE LLC,Y
1436024,CHANNEL FOUR TELEVISION CORPORATION,Y
1436028,"REMEDY HEALTH MEDIA, LLC",Y
1436034,"HEARST COMMUNICATIONS, INC.",Y
1436035,INNOVAPOST INC. (A.K.A. INNOVAPOST),Y
1436037,WOTIF.COM PTY LTD.,Y
1436048,"EVERYDAY HEALTH, INC. (ON BEHALF OF",Y
1436050,"OPPENHEIMERFUNDS DISTRIBUTOR, INC.",Y
