Fortune Company,Fortune Rank,Fortune Domain,Publisher Name,Actual iOS Publisher ID
Air Products & Chemicals,288,airproducts.com,Air Products and Chemicals Inc,
Amazon,18,amazon.com,AMZN Mobile LLC,
Southwest Airlines,142,southwest.com,Southwest Airlines,
Alaska Airlines,459,alaskaair.com,"Alaska Airlines, Inc.",
American Airlines,67,aa.com,"American Airlines, Inc.",
Apple,3,apple.com,Apple Inc.,
Hartford Financial Services Group,152,thehartford.com,Livegenic Inc,
ExxonMobil,2,exxonmobil.com,Exxon Mobil Corporation,
IMS Health,746,imshealth.com,"IMS Health, Inc.",
Bristol-Myers Squibb,168,bms.com,"MIR3, Inc.",
Citrix,676,citrix.com,Insight Marketing & Communications Ltd,
Wayfair,906,wayfair.com,Wayfair LLC,
Allstate,81,allstate.com,Allstate Insurance Company,
Ally Financial,298,ally.com,Ally Financial Inc.,
Xerox,150,xerox.com,purechannelapps Limited,
Citi,29,citigroup.com,"Citibank, N.A.",
Bank of America,26,bankofamerica.com,Bank of America,
Discover Financial Services,283,discover.com,KIDS DISCOVER,
American Express,85,americanexpress.com,American Express,
Ameriprise Financial,232,ameriprise.com,Ameriprise,
American Family Insurance Group,332,amfam.com,American Family Insurance,
Amgen,130,amgen.com,Amgen,
American National Insurance Company,723,americannational.com,American National Insurance Company Inc,
Rockwell Automation,412,rockwellautomation.com,"Rockwell Automation, Inc.",
Google,36,google.com,Chen Xianan,
CarMax,191,carmax.com,"CarMax Business Services, LLC",
Kohl's,145,kohls.com,"Kohl's Department Stores, Inc.",
LinkedIn,733,linkedin.com,LinkedIn Corporation,
PayPal,307,paypal.com,"PayPal, Inc.",
United Technologies,45,utc.com,The Taubman Company LLC,
LinkedIn,733,linkedin.com,Filip Duvnjak,
Intel,51,intel.com,Intel,
Computer Sciences,233,csc.com,Scope Technologies LLC,
Cinemark,762,cinemark.com,Hoang Van Tien,
Jacobs Engineering Group,235,jacobs.com,Jacobs Engineering Group Inc,
Gilead Sciences,86,gilead.com,"Gilead Sciences, Inc.",
Frontier Communications,461,frontier.com,Frontier Communications Corporation,
St. Jude Medical,465,sjm.com,"St. Jude Medical, Inc.",
AbbVie,123,abbvie.com,Jacsomedia Ltd.,
Hilton Worldwide Holdings,254,hiltonworldwide.com,Ivo Kuipers,
SunTrust,329,suntrust.com,"SunTrust Banks, Inc.",
P&G,34,pg.com,P&G Productions,
MetLife,40,metlife.com,MetLife,
Groupon,688,groupon.com,"Groupon, Inc.",
Walmart,1,walmart.com,Walmart,
Navistar International,281,navistar.com,Navistar,
Prudential Financial,50,prudential.com,"PRUDENTIAL FINANCIAL, INC",
Boston Scientific,359,bostonscientific.com,Boston Scientific,
Altria Group,149,altria.com,Websmith Group,
Ingram Micro,64,ingrammicro.com,Ingram Micro Distribution GmbH,
Graybar Electric,423,graybar.com,Graybar Electric Company,
Discover Financial Services,283,discover.com,Stefano Russello,
Ecolab,206,ecolab.com,Wecolab Network S.L.,
HP,20,hp.com,Intermotion Digital Services DMCC,
Unum Group,265,unum.com,Christian Mahler,
Domino's Pizza,915,dominos.com,AL AMAR FOODS,
Corning,313,corning.com,"Owens Corning Sales, LLC",
MGM Resorts International,309,mgmresorts.com,MGM Resorts International,
Stryker,287,stryker.com,Stryker,
Twitter,914,twitter.com,"Twitter, Inc.",
Nordstrom,197,nordstrom.com,"Nordstrom, Inc.",
Hyatt Hotels,562,hyatt.com,Hyatt Corporation,
Lexmark,638,lexmark.com,"Lexmark International, Inc.",
Baxter International,286,baxter.com,"RAIN TOMORROW DESIGN, LLC",
Hartford Financial Services Group,152,thehartford.com,The Hartford Fire Insurance Company,
Wells Fargo,27,wellsfargo.com,Wells Fargo Bank,
Regions Bank,453,regions.com,Regions Financial,
Starwood Hotels & Resorts Worldwide,444,starwoodhotels.com,Starwood Hotels and Resorts,
Starbucks,146,starbucks.com,Starbucks Coffee Company,
Sonic Automotive,297,sonicautomotive.com,"Sonic Automotive, Inc.",
AutoNation,136,autonation.com,AutoNation,
Avnet,102,avnet.com,MobileForce Software,
Halliburton,117,halliburton.com,Halliburton,
The Kroger Co.,17,kroger.com,The Kroger Co.,
Hasbro,550,hasbro.com,Tian Lei,
Bristol-Myers Squibb,168,bms.com,Farmers and Merchants Bank MS,
Fiserv,492,fiserv.com,"Bank of the Ozarks, Inc.",
M&T Bank,510,mtb.com,M&T Bank,
Bank of New York Mellon Corp.,179,bnymellon.com,The Bank of New York Mellon Corporation,
PNC,171,pnc.com,"PNC Bank, N.A.",
Fifth Third Bank,376,53.com,FifthThird Bank,
Illinois Tool Works,211,itw.com,Jody Mcalister,
Cracker Barrel,763,crackerbarrel.com,"Cracker Barrel Old Country Store, Inc.",
Chevron,14,chevron.com,Chevron U.S.A. Inc.,
Bristol-Myers Squibb,168,bms.com,"shenzhen xinghongcheng electronics co.,ltd",
BB&T,273,bbt.com,BB&T,
Computer Sciences,233,csc.com,"VistaGraphicsOnline, Inc.",
Ulta Beauty,602,ulta.com,"Ulta Salon, Cosmetics and Fragrance Inc.",
Massachusetts Mutual Life Insurance,76,massmutual.com,Massachusetts Mutual Life Insurance Company,
Best Buy,71,bestbuy.com,"Best Buy Co., Inc.",
Commercial Metals,417,cmc.com,Jeff Lee,
Intuit,552,intuit.com,Mint.com,
Goodyear Tire & Rubber,169,goodyear.com,Goodyear Tire & Rubber Company,
Jabil Circuit,158,jabil.com,Jabil Circuit Inc,
JetBlue Airways,405,jetblue.com,JetBlue Airways Corporation,
Bristol-Myers Squibb,168,bms.com,Alistair Sterritt,
Praxair,262,praxair.com,"PRAXAIR, INC.",
Dillard‰Ûªs,380,dillards.com,HH Brown Shoe Company,
Duke Energy,115,duke-energy.com,"Duke Energy International, Geracao Paranapanema S.A.",
Western Union,468,westernunion.com,The Western Union Company,
Panera Bread,797,panerabread.com,"Panera, LLC",
Toll Brothers,576,tollbrothers.com,Toll Brothers Inc.,
AbbVie,123,abbvie.com,AbbVie SRL,
Xerox,150,xerox.com,Fuji Xerox Australia Pty. Ltd.,
Capital One,112,capitalone.com,"Capital One Services, LLC",
eBay,300,ebay.com,eBay Inc.,
Humana,52,humana.com,Humana Inc.,
Lowe's Companies,47,lowes.com,"Lowe's Companie's, Inc.",
State Street Corp.,264,statestreet.com,State Street Corporation,
Ralph Lauren,354,ralphlauren.com,Polo Ralph Lauren Corporation,
The Home Depot,28,homedepot.com,"The Home Depot, Inc.",
CBRE Group,259,cbre.com,"CBRE, Inc.",
McDonald‰Ûªs,109,aboutmcdonalds.com,McDonald's Corporation,
Goodyear Tire & Rubber,169,goodyear.com,Nacao.Com Comercio e Prestacao de Servicos Ltda ME,
Cognizant Technology Solutions,230,cognizant.com,Cognizant Technology Solutions,
Genworth Financial,306,genworth.com,Genworth North America Corporation,
Sealed Air,375,sealedair.com,"Goodwick Associates, Inc.",
Guardian Life Ins. Co. of America,226,guardianlife.com,Ebix inc.,
SanDisk,464,sandisk.com,SanDisk Corporation,
Northrop Grumman,118,northropgrumman.com,Northrop Grumman Systems Corporation,
CDW,220,cdw.com,"CDW, LLC",
Discover Financial Services,283,discover.com,Aurelie Erard,
Thermo Fisher Scientific,164,thermofisher.com,Invitrogen,
Chipotle Mexican Grill,546,chipotle.com,Chipotle Mexican Grill,
Cinemark,762,cinemark.com,"Cinemark Holdings, Inc.",
Regal Cinemas,705,regmovies.com,"Regal Cinemas, Inc",
Citrix,676,citrix.com,"Citrix Systems, Inc.",
Citrix,676,citrix.com,Zenprise,
Fiserv,492,fiserv.com,City Credit Union,
Commercial Metals,417,cmc.com,Commercial Metals Company,
CME Group,671,cmegroup.com,CME Group Inc.,
Tiffany & Co.,582,tiffany.com,Tiffany & Co.,
PPG Industries,182,ppg.com,Hanley Wood,
Lockheed Martin,60,lockheedmartin.com,Lockheed Martin corp,
US Foods Holding,122,usfoods.com,"US Foods, Inc.",
Morgan Stanley,78,morganstanley.com,Morgan Stanley,
Costco Wholesale,15,costco.com,Costco Wholesale Corporation,
Terex,396,terex.com,Terex Corporation,
Praxair,262,praxair.com,Tony Chen,
Core-Mark Holding,317,core-mark.com,"Tiva Software, LLC",
CSX,239,csx.com,CSX Technology Inc.,
Unum Group,265,unum.com,Unum Group,
CVS Pharmacy,7,cvs.com,CVS Pharmacy,
CVS Pharmacy,7,cvs.com,CVS Inc,
Philip Morris International,106,pmi.com,"Dropmi, Inc.",
Delta Air Lines,68,delta.com,"Delta Air Lines, Inc",
WellCare Health Plans,202,wellcare.com,Liberty Dental Plan Corporation,
Henry Schein,268,henryschein.com,"Henry Schein, INC",
Univision,759,univision.com,Univision,
KeyBank,540,key.com,KeyBank National Association,
Discover Financial Services,283,discover.com,Creating Revolutions LLC,
Sealed Air,375,sealedair.com,Sealed Air Corporation,
DTE Energy,274,dteenergy.com,DTE Energy Corporate Services LLC,
Netflix,379,netflix.com,"DVD.com, A Netflix Company",
PVH,340,pvh.com,PVH Europe B.V.,
WESCO International,357,wesco.com,Jump Technologies,
Eastman Chemical,296,eastman.com,Eastman Chemical Company,
Ecolab,206,ecolab.com,Ecolab Inc,
Ecolab,206,ecolab.com,ECOLAB PTE LTD,
Jones Financial,382,edwardjones.com,"Edward D. Jones & Co., L.P.",
Computer Sciences,233,csc.com,"FIRST CAPITAL SECURITIES CO.,LTD.",
Commercial Metals,417,cmc.com,CMCSoftware Store,
ManpowerGroup,144,manpowergroup.com,Daniel Garnier Paris,
Duke Energy,115,duke-energy.com,Hugo Bailon,
Tech Data,108,techdata.com,Landtech Data Corporation,
Live Nation,366,livenation.com,"Live Nation Worldwide, Inc.",
Farmers Insurance,227,farmers.com,"Farmers Group, Inc",
Voya Financial,252,voya.com,Savoya LLC,
Expeditors International of Washington,390,expeditors.com,"Expeditors International of Washington, Inc",
Express,876,express.com,"Express, LLC",
Murphy USA,258,murphyusa.com,Murphy USA Inc,
Express Scripts Holding Co,22,express-scripts.com,"Express Scripts, Inc.",
Regeneron Pharmaceuticals,583,regeneron.com,"Regeneron Pharmaceuticals, Inc.",
Netflix,379,netflix.com,"Netflix, Inc.",
FedEx,58,fedex.com,"FedEx Corporate Services, Inc.",
Discover Financial Services,283,discover.com,"watzan, LLC",
Broadcom,331,broadcom.com,Broadcom Corporation,
Verizon,13,verizon.com,Verizon Services Corporation,
Penske Automotive Group,143,penskeautomotive.com,Brad Seckinger,
Whole Foods Market,181,wholefoodsmarket.com,"Whole Foods Market Services, Inc.",
Biogen,263,biogen.com,Biogen Inc.,
Simon Property Group,488,simon.com,Simon Property Group,
Mutual of Omaha Insurance,367,mutualofomaha.com,Mutual of Omaha Insurance Company,
Harman International Industries,419,harman.com,"Gardner Automotive Communications, Incorporated",
AECOM,156,aecom.com,AECOM Ltd,
GNC,809,gnc.com,General Nutrition Corporation,
Huntington Ingalls Industries,378,huntingtoningalls.com,"Huntington Ingalls Industries, Inc.",
Computer Sciences,233,csc.com,GuangHui Li,
Amgen,130,amgen.com,EYETBITS-DWC LLC,
Health Net,172,healthnet.com,"Health Net, Inc.",
Bristol-Myers Squibb,168,bms.com,edvard radzinsky,
Marriott International,195,marriott.com,Marriott International,
United Natural Foods,335,unfi.com,United Natural Foods Inc.,
JCPenney,228,jcpenney.com,"JCPenney, Inc.",
Pacific Life,326,pacificlife.com,Pacific Life Insurance Company,
Bristol-Myers Squibb,168,bms.com,"nizeX, Inc.",
Bristol-Myers Squibb,168,bms.com,Reza Chenary,
Michaels Stores,517,michaels.com,"Michaels Stores, Inc.",
UPS,48,ups.com,UPS,
USAA,114,usaa.com,United Services Automobile Association,
Unum Group,265,unum.com,Rui Cardoso,
WellCare Health Plans,202,wellcare.com,"WellCare Health Plans, Inc.",
Computer Sciences,233,csc.com,changtao xiong,
Philip Morris International,106,pmi.com,Li liangyou,
Amgen,130,amgen.com,Amgen Taiwan Limited,
Computer Sciences,233,csc.com,"xiangcai securities co.,ltd",
CDW,220,cdw.com,"Sichuan Luci Technology Co., Ltd.",
Fiserv,492,fiserv.com,Chicopee Savings Bank,
Cinemark,762,cinemark.com,zane shikara,
New York Life Insurance,61,newyorklife.com,New York Life Insurance Company,
PPG Industries,182,ppg.com,jianmin diao,
Computer Sciences,233,csc.com,CSC Deutschland Solutions GmbH,
Domino's Pizza,915,dominos.com,"Panamedia Group, Inc",
Computer Sciences,233,csc.com,haifeng lin,
United Technologies,45,utc.com,Yongjie Chu,
Autoliv,310,autoliv.com,I&N Communication AB,
Cameron International,319,c-a-m.com,Cameron International Corporation,
Huntsman,277,huntsman.com,Bert De Norre,
Stryker,287,stryker.com,Anubhav Gupta,
Raytheon,120,raytheon.com,"Raytheon Trusted Computer Solutions, Inc",
R.R. Donnelley & Sons,255,rrdonnelley.com,Robin Sikes,
Adobe,524,adobe.com,"Lanyon, Inc.",
Unum Group,265,unum.com,UNUM Tecnologia e Consultoria em Informatica Ltda,
Aflac,135,aflac.com,American Family Life Assurance Company of Columbus US,
Microsoft,25,microsoft.com,PhoneFactor,
Thermo Fisher Scientific,164,thermofisher.com,Life Technologies Corporation,
Computer Sciences,233,csc.com,ASSOCIATED EDUCATIONAL SERVICE OF VA,
Computer Sciences,233,csc.com,"La Jolla Cosmetic Surgery Centre, Inc.",
US Foods Holding,122,usfoods.com,IQPLUS Foods LLC,
Prudential Financial,50,prudential.com,PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE) LIMITED,
