Name,Rank,Website
Reinsurance Group of America,271,http://www.rgare.com
Public Service Enterprise Group,272,http://www.pseg.com
BB&T Corp.,273,http://www.bbt.com
DTE Energy,274,http://www.dteenergy.com
Assurant,275,http://www.assurant.com
Global Partners,276,http://www.globalp.com
Huntsman,277,http://www.huntsman.com
Becton Dickinson,278,http://www.bd.com
Sempra Energy,279,http://www.sempra.com
AutoZone,280,http://www.autozone.com
Navistar International,281,http://www.navistar.com
Precision Castparts,282,http://www.precast.com
Discover Financial Services,283,http://www.discover.com
Liberty Interactive,284,http://www.libertyinteractive.com
W.W. Grainger,285,http://www.grainger.com
Baxter International,286,http://www.baxter.com
Stryker,287,http://www.stryker.com
Air Products & Chemicals,288,http://www.airproducts.com
Western Refining,289,http://www.wnr.com
Universal Health Services,290,http://www.uhsinc.com
Owens & Minor,291,http://www.owens-minor.com
Charter Communications,292,http://www.charter.com
Advance Auto Parts,293,http://www.advanceautoparts.com
MasterCard,294,http://www.mastercard.com
Applied Materials,295,http://www.appliedmaterials.com
Eastman Chemical,296,http://www.eastman.com
Sonic Automotive,297,http://www.sonicautomotive.com
Ally Financial,298,http://www.ally.com
CST Brands,299,http://www.cstbrands.com
eBay,300,http://www.ebay.com
Lennar,301,http://www.lennar.com
GameStop,302,http://www.gamestopcorp.com
Reliance Steel & Aluminum,303,http://www.rsac.com
Hormel Foods,304,http://www.hormelfoods.com
Celgene,305,http://www.celgene.com
Genworth Financial,306,http://www.genworth.com
PayPal Holdings,307,http://www.paypal.com
Priceline Group,308,http://www.pricelinegroup.com
MGM Resorts International,309,http://www.mgmresorts.com
Autoliv,310,http://www.autoliv.com
Fidelity National Financial,311,http://www.fnf.com
Republic Services,312,http://www.republicservices.com
Corning,313,http://www.corning.com
Peter Kiewit Sons’,314,http://www.kiewit.com
Univar,315,http://www.univar.com
Mosaic,316,http://www.mosaicco.com
Core-Mark Holding,317,http://www.core-mark.com
Thrivent Financial for Lutherans,318,http://www.thrivent.com
Cameron International,319,http://www.c-a-m.com
HD Supply Holdings,320,http://www.hdsupply.com
Crown Holdings,321,http://www.crowncork.com
EOG Resources,322,http://www.eogresources.com
Veritiv,323,http://www.veritivcorp.com
Anadarko Petroleum,324,http://www.anadarko.com
Laboratory Corp. of America,325,http://www.labcorp.com
Pacific Life,326,http://www.pacificlife.com
News Corp.,327,http://www.newscorp.com
Jarden,328,http://www.newellbrands.com
SunTrust Banks,329,http://www.suntrust.com
Avis Budget Group,330,http://www.avisbudgetgroup.com
Broadcom,331,http://www.broadcom.com
American Family Insurance Group,332,http://www.amfam.com
Level 3 Communications,333,http://www.level3.com
Tenneco,334,http://www.tenneco.com
United Natural Foods,335,http://www.unfi.com
Dean Foods,336,http://www.deanfoods.com
Campbell Soup,337,http://www.campbellsoupcompany.com
Mohawk Industries,338,http://www.mohawkind.com
BorgWarner,339,http://www.borgwarner.com
PVH,340,http://www.pvh.com
Ball,341,http://www.ball.com
O’Reilly Automotive,342,http://www.oreillyauto.com
Eversource Energy,343,http://www.eversource.com
Franklin Resources,344,http://www.franklinresources.com
Masco,345,http://www.masco.com
Lithia Motors,346,http://www.lithiamotors.com
KKR,347,http://www.kkr.com
Oneok,348,http://www.oneok.com
Newmont Mining,349,http://www.newmont.com
PPL,350,http://www.pplweb.com
SpartanNash,351,http://www.spartannash.com
Quanta Services,352,http://www.quantaservices.com
XPO Logistics,353,http://www.xpo.com
Ralph Lauren,354,http://www.ralphlauren.com
Interpublic Group,355,http://www.interpublic.com
Steel Dynamics,356,http://www.steeldynamics.com
WESCO International,357,http://www.wesco.com
Quest Diagnostics,358,http://www.questdiagnostics.com
Boston Scientific,359,http://www.bostonscientific.com
AGCO,360,http://www.agcocorp.com
Foot Locker,361,http://www.footlocker-inc.com
Hershey,362,http://www.thehersheycompany.com
CenterPoint Energy,363,http://www.centerpointenergy.com
Williams,364,http://www.williams.com
Dick’s Sporting Goods,365,http://www.dicks.com
Live Nation Entertainment,366,http://www.livenation.com
Mutual of Omaha Insurance,367,http://www.mutualofomaha.com
W.R. Berkley,368,http://www.wrberkley.com
LKQ,369,http://www.lkqcorp.com
Avon Products,370,http://www.avoncompany.com
Darden Restaurants,371,http://www.darden.com
Kindred Healthcare,372,http://www.kindredhealthcare.com
Weyerhaeuser,373,http://www.weyerhaeuser.com
Casey’s General Stores,374,http://www.caseys.com
Sealed Air,375,http://www.sealedair.com
Fifth Third Bancorp,376,http://www.53.com
Dover,377,http://www.dovercorporation.com
Huntington Ingalls Industries,378,http://www.huntingtoningalls.com%20
Netflix,379,http://www.netflix.com
Dillard’s,380,http://www.dillards.com
EMCOR Group,381,http://www.emcorgroup.com
Jones Financial,382,http://www.edwardjones.com
AK Steel Holding,383,http://www.aksteel.com
UGI,384,http://www.ugicorp.com
Expedia,385,http://www.expediainc.com
salesforce.com,386,http://www.salesforce.com
Targa Resources,387,http://www.targaresources.com
Apache,388,http://www.apachecorp.com
Spirit AeroSystems Holdings,389,http://www.spiritaero.com
Expeditors International of Washington,390,http://www.expeditors.com
Anixter International,391,http://www.anixter.com
Fidelity National Information Services,392,http://www.fisglobal.com
Asbury Automotive Group,393,http://www.asburyauto.com
Hess,394,http://www.hess.com
Ryder System,395,http://www.ryder.com
Terex,396,http://www.terex.com
Coca-Cola European Partners,397,http://www.cokecce.com
Auto-Owners Insurance,398,http://www.auto-owners.com
Cablevision Systems,399,http://www.cablevision.com
Symantec,400,http://www.symantec.com
Charles Schwab,401,http://www.aboutschwab.com
Calpine,402,http://www.calpine.com
CMS Energy,403,http://www.cmsenergy.com
Alliance Data Systems,404,http://www.alliancedata.com
