Fortune Company,Fortune Rank,Fortune Domain,Publisher Name,Actual Android Publisher ID,,,
Bon-Ton,773,bonton.com,"The Bon-Ton Stores, Inc.",,,,
LinkedIn,733,linkedin.com,J Dodgson,708,,,
Massachusetts Mutual Life Insurance,76,massmutual.com,MassMutual Life Insurance Company,,,,
PNC,171,pnc.com,"PNC Bank, N.A.",,,,
Bristol-Myers Squibb,168,bms.com,PT. BENING MITRA SEJATI,158548,,,
LinkedIn,733,linkedin.com,csemdem,708,,,
Capital One,112,capitalone.com,"Capital One Services, LLC",,,,
LinkedIn,733,linkedin.com,Mithun Guddethota,708,,,
Discover Financial Services,283,discover.com,Mr. Hemil Lathia,90970,,,
Eversource Energy,343,eversource.com,Neto Marin,x,,,
Commercial Metals,417,cmc.com,SHINWON NETWORKS,343232,,,
Jacobs Engineering Group,235,jacobs.com,Binary Wasteland,129112,,,
Terex,396,terex.com,Felipe Salazar Schlotterbeck,105500,,,
Snap-on,630,snapon.com,Snap-on,,,,
Boston Scientific,359,bostonscientific.com,Boston Scientific,,,,
H&R Block,712,hrblock.com,H&R Block Mobile App Management,,,,
LinkedIn,733,linkedin.com,T Apps,708,,,
Jabil Circuit,158,jabil.com,Jabil,,,,
JetBlue Airways,405,jetblue.com,JetBlue Airways Corporation,,,,
LinkedIn,733,linkedin.com,Carl Parziale,708,,,
Bristol-Myers Squibb,168,bms.com,ccf-bms,158548,,,
Eastman Chemical,296,eastman.com,Bank of Eastman,374435,,,
Electronic Arts,543,ea.com,Electronic Arts Inc,,,,
Micron Technology,173,micron.com,CodeMicron Solutions,x,,,
Praxair,262,praxair.com,"Praxair, Inc.",,,,
Mondel��z International,94,mondelezinternational.com,mondelez,,,,
LinkedIn,733,linkedin.com,Vagner Martins,708,,,
Baxter International,286,baxter.com,Baxter Healthcare Corporation,,,,
Fiserv,492,fiserv.com,Coosa Pines FCU,149154,,,
Owens & Minor,291,owens-minor.com,Owens & Minor University,,,,
Duke Energy,115,duke-energy.com,"Duke Energy International, Geracao Paranapanema SA",292355,,,
Panera Bread,797,panerabread.com,Panera Bread,,,,
IBM,31,ibm.com,IBM Security,16124,78524,,
LinkedIn,733,linkedin.com,TWINS,708,,,
Boston Scientific,359,bostonscientific.com,Boston Scientific Costa Rica,,,,
CBRE Group,259,cbre.com,Pure Communicatie,541069,,,
PVH,340,pvh.com,PVH Corp.,,,,
Reliance Steel & Aluminum,303,rsac.com,dani hafid,x,,,
Heartland Payment Systems,796,heartlandpaymentsystems.com,Appsme86,122016,,,
Fiserv,492,fiserv.com,FNB Fox Valley,149154,,,
Fiserv,492,fiserv.com,Chemung Canal Trust Company,149154,,,
Visa,204,visa.com,Visa Europe,,,,
Office Depot,196,officedepot.com,"Office Depot, Inc.",,,,
LinkedIn,733,linkedin.com,Surinder Pal Singh,708,,,
Danaher,133,danaher.com,VIVA SOFTWARE SOLUTIONS,30317,,,
Exelon,95,exeloncorp.com,Exelon Corp,,,,
Murphy USA,258,murphyusa.com,Murphy USA: Buy smarter. Drive farther.,,,,
Gannett,752,gannett.com,USA TODAY,16776,,,
Caesars Entertainment,534,caesars.com,Caesars Entertainment,,,,
Lowe's Companies,47,lowes.com,"Lowe's Companie's, Inc.",,,,
Fannie Mae,16,fanniemae.com,Federal National Mortgage Association,,,,
Reliance Steel & Aluminum,303,rsac.com,Doctor SAC,x,,,
CHS,84,chsinc.com,CHS Inc.,,,,
CDW,220,cdw.com,CDW LLC,,,,
Cabela's,592,cabelas.com,Cabela's,,,,
GE,11,ge.com,Liswood & Tache,30791,,,
Prudential Financial,50,prudential.com,Prudential Retirement,533860,,,
Cognizant Technology Solutions,230,cognizant.com,Cognizant Technology Solutions,,,,
Cameron International,319,c-a-m.com,Cameron International,,,,
Centene,124,centene.com,Centene Corporation,,,,
LinkedIn,733,linkedin.com,TrilaDroid,708,,,
HollyFrontier,214,hollyfrontier.com,M. Briseno,x,,,
Costco Wholesale,15,costco.com,Costco Wholesale,,,,
Lexmark,638,lexmark.com,"Lexmark International, Inc.",,,,
LinkedIn,733,linkedin.com,Carlos Ceriani,708,,,
LinkedIn,733,linkedin.com,JM Vincenti,708,,,
Southern,162,southerncompany.com,Southern Nuclear Operating Company,,,,
Cardinal Health,21,cardinalhealth.com,Jump Technologies,,,,
Ecolab,206,ecolab.com,Michele Andreini,364826,,,
Quest Diagnostics,358,questdiagnostics.com,Quest Diagnostics Incorporated,,,,
CarMax,191,carmax.com,CarMax,,,,
C.H. Robinson Worldwide,208,chrobinson.com,"C.H. Robinson Worldwide, Inc.",,,,
United Technologies,45,utc.com,United Traders,26747,,,
CDW,220,cdw.com,McMURRY/TMG,,,,
Fiserv,492,fiserv.com,Financial Center First Credit Union,149154,,,
Fiserv,492,fiserv.com,PA Central FCU,149154,,,
Wells Fargo,27,wellsfargo.com,Wells Fargo Mobile,,,,
VeriFone Systems,971,verifone.com,"Mobile Solutions at VeriFone, Inc.",,<<one listed or this one,,
Micron Technology,173,micron.com,Carlos Mathews,x,,,
Walmart,1,walmart.com,Walmart,,,,
LinkedIn,733,linkedin.com,gektor650,708,,,
Sysco,57,sysco.com,Sysco Corporation,,,,
Bristol-Myers Squibb,168,bms.com,ecplaza,158548,,,
Brinker International,731,brinker.com,Brinker International,,,,
Chipotle Mexican Grill,546,chipotle.com,Chipotle Mexican Grill,,,,
Cinemark,762,cinemark.com,"Cinemark USA, Inc.",,,,
Regal Cinemas,705,regmovies.com,Regal Cinemas,,,,
LinkedIn,733,linkedin.com,Luca Stucchi,708,,,
Citrix,676,citrix.com,"Citrix Systems, Inc",,,,
Fiserv,492,fiserv.com,Mill City Credit Union Google Play Developer,149154,,,
LinkedIn,733,linkedin.com,CoreEye Games,708,,,
Party City,894,partycity.com,Party City,,,,
IBM,31,ibm.com,IBM Tivoli,16124,78524,,
FIS,392,fisglobal.com,SunGard Data Systems Inc.,83344,,,
SanDisk,464,sandisk.com,SanDisk Corp.,,,,
SanDisk,464,sandisk.com,� Western Digital Corporation or its affiliates.,15849,,,
Juniper Networks,519,juniper.net,Cloudpath Networks Inc,157458,,,
LinkedIn,733,linkedin.com,John Hoford,708,,,
Marsh & McLennan,222,mmc.com,MTGMintCard Ltd,597414,,,
CME Group,671,cmegroup.com,"CME Group, Inc.",,,,
CenterPoint Energy,363,centerpointenergy.com,CenterPoint Energy,,,,
LinkedIn,733,linkedin.com,Akand Islam,708,,,
Xerox,150,xerox.com,Xerox State Healthcare,95576,,,
USAA,114,usaa.com,USAA,,,,
Voya Financial,252,voya.com,VITKE S.A.,46624,324781,,
Verizon,13,verizon.com,Verizon Enterprise Solutions,,,,
LinkedIn,733,linkedin.com,DES-IT,708,,,
US Foods Holding,122,usfoods.com,"US Foods, Inc.",,,,
Commercial Metals,417,cmc.com,TekSys,343232,,,
Pitney Bowes,634,pb.com,Pitney Bowes,,,,
Morgan Stanley,78,morganstanley.com,Morgan Stanley and Co. LLC,,,,
Symantec,400,symantec.com,sulph8,55271,,,
Harman International Industries,419,harman.com,"Harman Consumer, Inc.",122917,,,
HP,20,hp.com,Hewlett-Packard Company,,,,
LinkedIn,733,linkedin.com,LinkedIn,,,,
HP,20,hp.com,Snapfish,890,34954,35173,34932
Terex,396,terex.com,Terex Corporate,,,,
Core-Mark Holding,317,core-mark.com,"Core-Mark International, Inc.",,,,
Norfolk Southern,270,nscorp.com,Norfolk Southern Corp,,,,
CSX,239,csx.com,CSX,,,,
VF,231,vfc.com,Bashira Baset,,,,
Fiserv,492,fiserv.com,CPM Federal Credit Union,149154,,,
LinkedIn,733,linkedin.com,Francesco Gasparetto,708,,,
Norfolk Southern,270,nscorp.com,ALIENS Corporation,200722,,,
Fiserv,492,fiserv.com,OUR Credit Union,149154,,,
LinkedIn,733,linkedin.com,Dejan Zivanovic,708,,,
Computer Sciences,233,csc.com,CSC SA,214861,,,
Unum Group,265,unum.com,Unum Group,,,,
CVS Pharmacy,7,cvs.com,CVS/pharmacy,,,,
LinkedIn,733,linkedin.com,Illuminous LLC,708,,,
ADT,635,adt.com,"Zhejiang DAHUA Technology Co., Ltd",142166,,,
Caterpillar,59,caterpillar.com,Saturn Agrochem,80628,,,
Paccar,147,paccar.com,PACCAR,,,,
Wayfair,906,wayfair.com,"Wayfair, LLC",,,,
LinkedIn,733,linkedin.com,_�_���_�__ _�_�___�_______���,708,,,
Delta Air Lines,68,delta.com,"Delta Air Lines, Inc.",,,,
WellCare Health Plans,202,wellcare.com,Liberty Dental Plan Corporation,224529,,,
Paccar,147,paccar.com,PACCAR ITD,,,,
Swift Transportation,570,swifttrans.com,"Swift Transportation Co. of Arizona, LLC",,,,
Genworth Financial,306,genworth.com,Genworth Financial,,,,
Discover Financial Services,283,discover.com,SgDiscover,90970,,,
Discover Financial Services,283,discover.com,Creating Revolutions,90970,,,
Sealed Air,375,sealedair.com,Sealed Air,,,,
Huntsman,277,huntsman.com,Jeremy Huntsman,124365,,,
HP,20,hp.com,Primax Electronics Software,890,34954,35173,34932
R.R. Donnelley & Sons,255,rrdonnelley.com,RR_Donnelley,,,,
Fiserv,492,fiserv.com,Doral Financial Corporation,149154,,,
Nuance Communications,984,nuance.com,Dragon Speech Recognition,2954,,,
Nuance Communications,984,nuance.com,Nuance Communications Inc,,,,
DTE Energy,274,dteenergy.com,"DTE Energy Corporate Services, LLC",,,,
Duke Energy,115,duke-energy.com,Ast̩ria Internet Solutions,,,,
LinkedIn,733,linkedin.com,&mobi,708,,,
LinkedIn,733,linkedin.com,Mikhail Kulesh,708,,,
Fiserv,492,fiserv.com,Century Federal Credit Union,149154,,,
Eastman Chemical,296,eastman.com,Eastman Chemical Company,,,,
LinkedIn,733,linkedin.com,Pediatric Palpitationz,708,,,
Ecolab,206,ecolab.com,EcoLab,,,,
LinkedIn,733,linkedin.com,Luiz Vessosa,708,,,
Jones Financial,382,edwardjones.com,Edward Jones Investments,,,,
HP,20,hp.com,Y&Y,890,34954,35173,34932
ManpowerGroup,144,manpowergroup.com,Madhouse Studio,426846,,,
Tiffany & Co.,582,tiffany.com,Tiffany & Co.,,,,
Xerox,150,xerox.com,FUJI XEROX AUSTRALIA PTY. LIMITED,,,,
Equifax,801,equifax.com,Equifax Per̼,,,,
FIS,392,fisglobal.com,FIS Events,,,,
F5 Networks,990,f5.com,f5events2016,115581,,,
Farmers Insurance,227,farmers.com,Farmers Group Inc,,,,
IBM,31,ibm.com,"Kenexa, Inc",16124,78524,,
Expeditors International of Washington,390,expeditors.com,"Expeditors International of Washington, Inc.",,,,
Broadcom,331,broadcom.com,Broadcom Corporation,,,,
Express Scripts Holding Co,22,express-scripts.com,Express Scripts Holding Company,,,,
Express,876,express.com,EXPRESS,,,,
Trimble,896,trimble.com,Trimble MEP,,,,
DaVita,200,davita.com,DaVita,,,,
SpartanNash,351,spartannash.com,Spartan Stores,,,,
The Home Depot,28,homedepot.com,Satellite Electronic (Zhongshan) Ltd.,45340,,,
Nordstrom,197,nordstrom.com,"Nordstrom, Inc.",,,,
LinkedIn,733,linkedin.com,Lawrence Owusu,708,,,
Fiserv,492,fiserv.com,Hawaiian Telephone Company Employees FCU,149154,,,
FedEx,58,fedex.com,FedEx Office,,,,
Parker Hannifin,224,parker.com,Parker Hannifin India Pvt. Ltd.,50546,,,
Altice,399,cablevision.com,"CSC Holdings, LLC.",x,,,
Verizon,13,verizon.com,Verizon Services Corp.,,,,
Honeywell,75,honeywell.com,Troo Corporation,43095,,,
Tyson Foods,66,tysonfoods.com,"Tyson Foods, Inc.",,,,
Whole Foods Market,181,wholefoodsmarket.com,"Whole Foods Market, Inc.",,,,
Fiserv,492,fiserv.com,Union Savings Bank CT,149154,,,
Fiserv,492,fiserv.com,The Farmers and Merchants Bank,149154,,,
KeyBank,540,key.com,"KeyBank, N.A.",,,,
PayPal,307,paypal.com,LouZiffer,901,,,
Fiserv,492,fiserv.com,Hamilton State Bank,149154,,,
Fiserv,492,fiserv.com,McCoy Federal Credit Union,149154,,,
Swift Transportation,570,swifttrans.com,Swift Transportation,,,,
VF,231,vfc.com,VF Corporation,,,,
Scotts,724,scotts.com,The Scotts Miracle-Gro Company,,,,
LinkedIn,733,linkedin.com,momodalo design,708,,,
PPG Industries,182,ppg.com,24/7 Alarmas,64383,,,
Publix Super Markets,87,publix.com,Publix Super Markets Inc.,,,,
Genuine Parts,183,genpt.com,Nxt Gen Institute of Physical Therapy,61965,,,
Global Partners,276,globalp.com,Global Partners,,,,
Voya Financial,252,voya.com,Voya Investment Management,,,,
GNC,809,gnc.com,GNC,,,,
LinkedIn,733,linkedin.com,Maillet,708,,,
Goodyear Tire & Rubber,169,goodyear.com,Goodyear Asia Pacific,212037,,,
Grainger,285,grainger.com,Grainger Apps,,,,
Groupon,688,groupon.com,"Groupon, Inc",,,,
Microchip Technology,931,microchip.com,GrowIT Media,44100,,,
Northrop Grumman,118,northropgrumman.com,Northrop Grumman Systems Corporation,,,,
Lincoln Electric,832,lincolnelectric.com,The Lincoln Electric Company,,,,
Hanover Insurance Group,506,hanover.com,Insurance Information Institute,x,,,
Cognizant Technology Solutions,230,cognizant.com,Cognizant HealthActivate,,,,
Kindred Healthcare,372,kindredhealthcare.com,Kindred Healthcare,,,,
WellCare Health Plans,202,wellcare.com,��㓝���ʓݡ,224529,,,
Molina Healthcare,201,molinahealthcare.com,Molina Healthcare,,,,
Henry Schein,268,henryschein.com,"Henry Schein, Inc.",,,,
Starwood Hotels & Resorts Worldwide,444,starwoodhotels.com,Starwood Resorts & Hotels,,,,
Discover Financial Services,283,discover.com,RuDiscover,90970,,,
HP,20,hp.com,Hewlett Packard Enterprise,,,,
HP,20,hp.com,Hewlett-Packard Co.,,,,
HP,20,hp.com,Hewlett Packard,,,,
HP,20,hp.com,Comod.in,890,34954,35173,34932
Huntington Bank,698,huntington.com,Huntington National Bank,,,,
Huntsman,277,huntsman.com,BlueNubes,,,,
Yum! Brands,218,yum.com,Yum Brands Inc - India Division,,,,
Bristol-Myers Squibb,168,bms.com,Pegasus Automation International,158548,,,
R.R. Donnelley & Sons,255,rrdonnelley.com,RRDonnelley,,,,
Computer Sciences,233,csc.com,ICSC,214861,,,
HD Supply Holdings,320,hdsupply.com,Gnxcor Inc.,35626,,,
Public Service Enterprise Group,272,pseg.com,TOPSEG S.A. Compa̱�_a de Seguros y Reaseguros,x,,,
International Paper,127,internationalpaper.com,International Paper Company,,,,
Baxter International,286,baxter.com,EBX,x,,,
Corning,313,corning.com,�_ӑܝ�ʥ��ۓ�Γ_�,150798,,,
Marriott International,195,marriott.com,Marriott International,,,,
Parker Hannifin,224,parker.com,Recess Creative,50546,,,
United Natural Foods,335,unfi.com,United Natural Foods Inc.,,,,
JCPenney,228,jcpenney.com,JCPenney Inc.,,,,
Commercial Metals,417,cmc.com,WeAreCMC,343232,,,
LinkedIn,733,linkedin.com,Bookan Abdolmajid Ahmad,708,,,
Corning,313,corning.com,Corning Incorporated,150798,,,
Kohl's,145,kohls.com,Kohls,,,,
LinkedIn,733,linkedin.com,djardon,708,,,
Navient,494,navient.com,"Navient Solutions, Inc.",,,,
Lowe's Companies,47,lowes.com,"Lowe's Companies, Inc.",,,,
LinkedIn,733,linkedin.com,Husni Sharabati,708,,,
Simon Property Group,488,simon.com,Simon Property Group,,,,
Cisco,54,cisco.com,Cisco Meraki,28676,,,
Biogen,263,biogen.com,"Biogen, Inc",,,,
Bristol-Myers Squibb,168,bms.com,Grupo BMS,158548,,,
Alliance Data Systems,404,alliancedata.com,Alliance Data,,,,
Michaels Stores,517,michaels.com,"Michaels Stores, Inc.",,,,
Microsoft,25,microsoft.com,Microsoft Tag,49,,,
Amgen,130,amgen.com,Ahmed Esmat,268459,,,
Norfolk Southern,270,nscorp.com,NeuroSync,200722,,,
L-3 Communications,245,l-3com.com,L-3 Mission Integration,,,,
Performance Food Group,185,pfgc.com,Performance Foodservice,,,,
Progressive,137,progressive.com,Censio,90806,,,
Cisco,54,cisco.com,Cisco Systems,,,,
UPS,48,ups.com,UPS,,,,
Nuance Communications,984,nuance.com,SafeCom a/s,2954,,,
Target,38,target.com,Consensus Corporation,1710,,,
LinkedIn,733,linkedin.com,Federico Mazzoli,708,,,
Tesla,588,teslamotors.com,"Tesla Motors, Inc.",,,,
Republic Services,312,republicservices.com,Republic Services,,,,
H&R Block,712,hrblock.com,H&R Block,,,,
WellCare Health Plans,202,wellcare.com,"WellCare Health Plans, Inc.",,,,
OG&E,921,oge.com,OGE Developer,,,,
LinkedIn,733,linkedin.com,Chris Sinclair,708,,,
LinkedIn,733,linkedin.com,LachlanM,708,,,
HP,20,hp.com,HP Inc,890,34954,35173,34932
Prudential Financial,50,prudential.com,Prudential Assurance Malaysia Berhad,533860,,,
Philip Morris International,106,pmi.com,Kunststofftechnik Kannegiesser,205356,,,
Western Refining,289,wnr.com,Sewnr,x,,,
LinkedIn,733,linkedin.com,John Wageeh,708,,,
Synnex,212,synnex.com,Synnex Australia Pty Ltd,,,,
Unum Group,265,unum.com,BeyazPiksel,420234,,,
Computer Sciences,233,csc.com,Viet Capital Securities JSC,214861,,,
Voya Financial,252,voya.com,HVOYA Integra,46624,324781,,
LinkedIn,733,linkedin.com,App2You,708,,,
Owens-Illinois,418,o-i.com,Lecoco.inc,x,,,
